symbol,horizon,model,control_seed,bin,day,latency,long_crossed_bps,prediction_bps,rows,short_crossed_bps
KGHM,10,linear,,8.0,2017-12-27,5,-7.556585500711575,0.38349563624523847,1721,-8.123758622770938
KGHM,10,linear,,9.0,2017-12-27,5,-7.221107212867956,0.5000097803794382,2494,-7.900560489625065
KGHM,10,linear,,10.0,2017-12-27,5,-5.59860899180606,0.6476179895495096,3035,-6.2666366535931335
KGHM,10,linear,,1.0,2017-12-28,5,-7.339528401722638,-0.5890938702608889,2756,-6.377639462069583
KGHM,10,linear,,2.0,2017-12-28,5,-9.257685958813612,-0.40002550601255527,2819,-8.281801064961135
KGHM,10,linear,,3.0,2017-12-28,5,-9.111001905310843,-0.24911975333425032,3166,-8.701844858494217
KGHM,10,linear,,4.0,2017-12-28,5,-10.28264907440339,-0.10533187269947614,3303,-9.80696047742393
KGHM,10,linear,,5.0,2017-12-28,5,-10.913861581916278,0.032615531170493324,3042,-10.737436244027341
KGHM,10,linear,,6.0,2017-12-28,5,-9.536807478182356,0.14860692760852176,3848,-9.329521293019646
KGHM,10,linear,,7.0,2017-12-28,5,-10.15428930497746,0.2626236471529114,3899,-10.307148651272191
KGHM,10,linear,,8.0,2017-12-28,5,-9.679418666914387,0.37604412435876317,3908,-10.34992873714167
KGHM,10,linear,,9.0,2017-12-28,5,-8.062910726420247,0.5012304650536645,4012,-8.491151648155418
KGHM,10,linear,,10.0,2017-12-28,5,-6.423716185932742,0.6544740282897388,4332,-7.370912690135743
KGHM,10,linear,,1.0,2017-12-29,5,-7.242263975833738,-0.6031701864297533,2581,-6.535146064623217
KGHM,10,linear,,2.0,2017-12-29,5,-9.556766400820084,-0.3979433885942605,3357,-9.083769531560927
KGHM,10,linear,,3.0,2017-12-29,5,-10.796921187589062,-0.2557378574094689,3687,-10.517964811126529
KGHM,10,linear,,4.0,2017-12-29,5,-11.801050447272962,-0.1045847242352322,3501,-11.315374595447716
KGHM,10,linear,,5.0,2017-12-29,5,-13.803977985379351,0.03057591851432801,3786,-13.588164444721127
KGHM,10,linear,,6.0,2017-12-29,5,-12.300505739916321,0.1512540672993318,3082,-12.31342580294226
KGHM,10,linear,,7.0,2017-12-29,5,-11.466361340592181,0.26180105358152944,3052,-11.745651706606738
KGHM,10,linear,,8.0,2017-12-29,5,-9.81272380880877,0.37633728369180003,3087,-10.24557051410913
