symbol,horizon,model,control_seed,bottom_decile_short_bps,coverage,day,decile_bins,excluded_crossing_common,latency,ordered_deciles,prediction_rows,rows,selected_rows,sign_selected_bps,threshold_bps,top_decile_long_bps
PKNORLEN,10,linear,,-8.6067236707424,3.6260787584306334e-05,2017-12-28,10,5,1,0.0,27583,27578,1,-26.893769610040085,1.0,-7.534352893274844
PKNORLEN,10,linear,,-7.923998779640621,0.0,2017-12-29,10,5,1,0.0,41012,41007,0,,1.0,-7.730403725408472
PKNORLEN,10,linear,,-8.152612989851464,2.0380088653385642e-05,all,10,15,5,0.0,98150,98135,2,-20.082584871376667,1.0,-7.815457773289695
PKNORLEN,10,linear,,-6.597030760801497,3.3840947546531304e-05,2017-12-27,10,5,5,0.0,29555,29550,1,-13.271400132713246,1.0,-7.530253117677364
PKNORLEN,10,linear,,-9.01483754773409,3.6260787584306334e-05,2017-12-28,10,5,5,0.0,27583,27578,1,-26.893769610040085,1.0,-7.940654705804787
PKNORLEN,10,linear,,-8.292117654936058,0.0,2017-12-29,10,5,5,0.0,41012,41007,0,,1.0,-8.080203085935432
PKNORLEN,10,xgboost,,-8.113766708912106,0.027798440923218017,all,10,15,0,0.0,98150,98135,2728,-6.584377366368481,1.0,-7.796109005507119
PKNORLEN,10,xgboost,,-6.231098250675497,0.02934010152284264,2017-12-27,10,5,0,0.0,29555,29550,867,-5.88217325413381,1.0,-7.592342487814359
PKNORLEN,10,xgboost,,-8.274251321842787,0.027521937776488505,2017-12-28,10,5,0,0.0,27583,27578,759,-6.344114169672648,1.0,-7.3891851510139075
PKNORLEN,10,xgboost,,-8.69890147803458,0.026873460628673154,2017-12-29,10,5,0,0.0,41012,41007,1102,-7.302318139144886,1.0,-8.432555126146038
PKNORLEN,10,xgboost,,-8.3298140613917,0.027798440923218017,all,10,15,1,0.0,98150,98135,2728,-7.165855889260492,1.0,-8.025310359609412
PKNORLEN,10,xgboost,,-6.426078787664491,0.02934010152284264,2017-12-27,10,5,1,0.0,29555,29550,867,-6.552283910597143,1.0,-7.784651806431381
PKNORLEN,10,xgboost,,-8.597942772904183,0.027521937776488505,2017-12-28,10,5,1,0.0,27583,27578,759,-7.130494104761316,1.0,-7.6219311910042755
PKNORLEN,10,xgboost,,-8.882013758321904,0.026873460628673154,2017-12-29,10,5,1,0.0,41012,41007,1102,-7.672939827496425,1.0,-8.70535625950168
PKNORLEN,10,xgboost,,-8.703342918927016,0.027798440923218017,all,10,15,5,0.0,98150,98135,2728,-7.802971946366217,1.0,-8.473036035332157
PKNORLEN,10,xgboost,,-6.7233099738897675,0.02934010152284264,2017-12-27,10,5,5,0.0,29555,29550,867,-7.227195839246985,1.0,-8.285324037622368
PKNORLEN,10,xgboost,,-9.115388064274791,0.027521937776488505,2017-12-28,10,5,5,0.0,27583,27578,759,-8.010957649117433,1.0,-8.040657371028304
PKNORLEN,10,xgboost,,-9.227999488075914,0.026873460628673154,2017-12-29,10,5,5,0.0,41012,41007,1102,-8.11271490143355,1.0,-9.112689986103991
PKNORLEN,20,linear,,-7.463896064008646,0.023546200499464858,all,10,15,0,0.0,98120,98105,2310,-4.850549208390059,1.0,-7.151793748378999
PKNORLEN,20,linear,,-5.835931941056878,0.02064996614759648,2017-12-27,10,5,0,0.0,29545,29540,610,-4.428307585717521,1.0,-6.73214219902993
PKNORLEN,20,linear,,-8.202513126239312,0.020966337782936738,2017-12-28,10,5,0,0.0,27573,27568,578,-4.896450081632401,1.0,-7.258504504793601
PKNORLEN,20,linear,,-7.665674023689927,0.027367856184598874,2017-12-29,10,5,0,0.0,41002,40997,1122,-5.056464257495384,1.0,-7.5904151828310225
PKNORLEN,20,linear,,-7.669372318114108,0.023546200499464858,all,10,15,1,0.0,98120,98105,2310,-5.28125468774254,1.0,-7.381720102941355
PKNORLEN,20,linear,,-5.93259677003015,0.02064996614759648,2017-12-27,10,5,1,0.0,29545,29540,610,-4.769817108959686,1.0,-6.953413402692272
PKNORLEN,20,linear,,-8.447053972780445,0.020966337782936738,2017-12-28,10,5,1,0.0,27573,27568,578,-5.475245126476726,1.0,-7.498697635820427
