symbol,horizon,model,control_seed,adverse_before_fill,day,eligible_decisions,excluded_invalid_placement,fill_before_adverse,fill_probability,fills,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,unfilled_fraction,zero_signal_decisions
KGHM,10,xgboost,,0.022827016243944145,2017-12-28,35090,0,0.003505272157309775,0.004588201766885153,161,retain,1,-0.01381766145962143,-0.6753854429033062,161,161,-0.17968452350950156,161,0.2078413992686288,128,7.366459627329193,1143.6245369051012,8.0,705.0,0.9736107153035053,35090,200.0,2147.0,5.699629524080935e-05,3.0614852529589403,1.738355798088505,161,161,2.7296231436826086,161,3.399385620554368,128,0.9954117982331149,0
KGHM,10,xgboost,,0.03599447792854978,2017-12-29,29699,0,0.004309909424559749,0.005252702111182195,156,retain,1,0.528670526569172,0.2422917550942793,156,156,0.41511709369622296,156,0.48136908121597266,125,7.596153846153846,1045.3497424155696,8.0,653.0,0.9596956126468905,29699,149.0,2078.0,0.0,7.978508312631121,7.405312232945023,156,156,7.751318790816824,156,7.8514883523786585,125,0.9947472978888178,0
KGHM,10,xgboost,,0.032036062076322216,all,87183,0,0.004599520548730831,0.005930055171306333,517,retain,5,0.1815887494828437,-0.2524268073548435,517,517,0.04864254223954084,517,0.4831271317746356,92,7.615087040618955,1557.4756546574447,8.0,742.0,0.9632726563664935,87183,160.0,2625.0,9.17610084534829e-05,4.265822620928703,3.397587190625907,517,517,3.9997988093428467,517,4.408041350325441,92,0.9940699448286937,0
KGHM,10,xgboost,,0.021478967580601947,2017-12-27,22394,0,0.0030365276413325,0.004286862552469411,96,retain,5,0.2571552343233828,0.4658027209079488,96,96,0.4202163278170805,96,0.0,11,7.927083333333333,3025.0797981602213,8.0,1055.0,0.975305885505046,22394,262.0,13567.0,0.00017861927301955882,1.57846414390826,1.9957408062379045,96,96,1.9045874295856768,96,1.6188775770017394,11,0.9957131374475305,0
KGHM,10,xgboost,,0.02901111427757196,2017-12-28,35090,0,0.004987175833570818,0.006469079509831861,227,retain,5,-0.05858938506360037,-0.8796221225284003,227,227,-0.332615591606971,227,0.5680296765071057,43,7.546255506607929,1093.7514961527502,8.0,671.0,0.9658877172983756,35090,164.0,2069.0,0.0001139925904816187,2.523503966438342,0.8812953467214018,227,227,1.975239018004846,227,2.170224014235296,43,0.9935309204901681,0
KGHM,10,xgboost,,0.04357049058890872,2017-12-29,29699,0,0.005320044445940941,0.00653220647159837,194,retain,5,0.4252282030774367,0.1260438206408748,194,194,0.31088229980507887,194,0.526905790354235,38,7.541237113402062,998.7549412438129,8.0,617.0,0.9511094649651504,29699,120.0,2021.0,0.0,7.634341942388878,7.035605239427821,194,194,7.405548113932611,194,7.7476978492316775,38,0.9934677935284016,0
KGHM,10,xgboost,,0.024213436105662803,all,87183,0,0.002970762648681509,0.0037163208423660575,324,reset,0,0.25451398149162174,0.007338963219809108,324,324,0.1929017620512696,324,0.26117488291844476,324,7.737654320987654,1636.868655586525,8.0,790.0,0.9727928609935423,87183,210.0,2829.0,2.2940252113370725e-05,4.936648128279853,4.442143067413294,324,324,4.813372951256227,324,4.949982260201533,324,0.9962836791576339,0
KGHM,10,xgboost,,0.01656693757256408,2017-12-27,22394,0,0.0018308475484504778,0.002277395730999375,51,reset,0,0.0441411441895322,0.5218260974623987,51,51,0.21728892870088212,51,0.17458726586543669,51,7.8431372549019605,3147.9004644101096,8.0,1108.5,0.9816022148789855,22394,328.0,14261.400000000038,0.0,1.9207154915042344,2.876132045709155,51,51,2.2671928178439567,51,2.1815310696592554,51,0.9977226042690006,0
KGHM,10,xgboost,,0.021003134796238245,2017-12-28,35090,0,0.0029353092049016812,0.003761755485893417,132,reset,0,0.03353627359201849,-0.5884561610361927,132,132,-0.151910237101219,132,0.10062596366809222,132,7.621212121212121,1160.8815047021944,8.0,710.0,0.9760045597036193,35090,214.0,2177.500000000011,5.699629524080935e-05,2.8260079203517456,1.5820826168532518,132,132,2.4549953795009425,132,2.9602396889841516,132,0.9962382445141066,0
KGHM,10,xgboost,,0.03377218088151116,2017-12-29,29699,0,0.0038721842486279,0.004747634600491599,141,reset,0,0.5374790321664742,0.3790135203504485,141,141,0.5068835945973564,141,0.4427949241294372,141,7.808510638297872,1059.8910737735278,8.0,666.0,0.962355634869861,29699,159.0,2111.0,0.0,8.003435872407989,7.686075986426322,141,141,7.942174556048588,141,7.814074672388413,141,0.9952523653995085,0
