symbol,day,horizon,model,control_seed,latency,interpretation,tail_bin,bins_available,fill_probability_tail_minus_center,markout_5_tail_minus_center
KGHM,2017-12-29,20,xgboost,,5,retain,1,10,-0.026772246810396368,0.6065189954424236
KGHM,2017-12-29,20,xgboost,,5,retain,10,10,-0.019589349252466026,-3.313052803601064
KGHM,2017-12-29,50,linear,,0,reset,1,10,-0.0804272641230051,1.0917709144472498
KGHM,2017-12-29,50,linear,,0,reset,10,10,-0.006754091898707126,-1.546865830738601
KGHM,2017-12-29,50,linear,,0,retain,1,10,-0.0804272641230051,1.0917709144472498
KGHM,2017-12-29,50,linear,,0,retain,10,10,-0.006754091898707126,-1.546865830738601
KGHM,2017-12-29,50,linear,,1,reset,1,10,-0.07948866156721998,1.1388463448977455
KGHM,2017-12-29,50,linear,,1,reset,10,10,-0.004948286671199731,-1.453927594049401
KGHM,2017-12-29,50,linear,,1,retain,1,10,-0.07948866156721998,1.1388463448977455
KGHM,2017-12-29,50,linear,,1,retain,10,10,-0.004948286671199731,-1.453927594049401
KGHM,2017-12-29,50,linear,,5,reset,1,10,-0.07819426323196942,1.4256903315107217
KGHM,2017-12-29,50,linear,,5,reset,10,10,0.017851507848051562,-0.933518715801279
KGHM,2017-12-29,50,linear,,5,retain,1,10,-0.07819426323196942,1.4256903315107217
KGHM,2017-12-29,50,linear,,5,retain,10,10,0.017851507848051562,-0.933518715801279
KGHM,2017-12-29,50,xgboost,,0,reset,1,10,-0.09543297422430252,1.4360576677489516
KGHM,2017-12-29,50,xgboost,,0,reset,10,10,-0.038392994330245386,-1.9905842473687891
KGHM,2017-12-29,50,xgboost,,0,retain,1,10,-0.09543297422430252,1.4360576677489516
KGHM,2017-12-29,50,xgboost,,0,retain,10,10,-0.038392994330245386,-1.9905842473687891
KGHM,2017-12-29,50,xgboost,,1,reset,1,10,-0.09479493080881533,1.4166541741338252
KGHM,2017-12-29,50,xgboost,,1,reset,10,10,-0.03620447339861543,-1.7972260305738783
KGHM,2017-12-29,50,xgboost,,1,retain,1,10,-0.09479493080881533,1.4166541741338252
KGHM,2017-12-29,50,xgboost,,1,retain,10,10,-0.03620447339861543,-1.7972260305738783
KGHM,2017-12-29,50,xgboost,,5,reset,1,10,-0.09364904520328161,1.7156038431816958
KGHM,2017-12-29,50,xgboost,,5,reset,10,10,-0.020192756296348924,-1.2412535341609723
KGHM,2017-12-29,50,xgboost,,5,retain,1,10,-0.09364904520328161,1.7156038431816958
KGHM,2017-12-29,50,xgboost,,5,retain,10,10,-0.020192756296348924,-1.2412535341609723
KGHM,all,10,linear,,0,reset,1,10,-0.0016041114445195957,-0.11106758986143828
KGHM,all,10,linear,,0,reset,10,10,-0.005503601739780193,-1.405397450318972
KGHM,all,10,linear,,0,retain,1,10,-0.0016041114445195957,-0.11106758986143828
KGHM,all,10,linear,,0,retain,10,10,-0.005503601739780193,-1.405397450318972
KGHM,all,10,linear,,1,reset,1,10,-0.0023495310127714768,-0.7365963739747592
KGHM,all,10,linear,,1,reset,10,10,-0.006134316100415649,-1.7940711542821157
KGHM,all,10,linear,,1,retain,1,10,-0.0023495310127714768,-0.7365963739747592
KGHM,all,10,linear,,1,retain,10,10,-0.006134316100415649,-1.7940711542821157
KGHM,all,10,linear,,5,reset,1,10,-0.0028662507407474173,-0.55423211533534
KGHM,all,10,linear,,5,reset,10,10,-0.007224403997166298,-2.71515132501138
KGHM,all,10,linear,,5,retain,1,10,-0.0028662507407474173,-0.55423211533534
KGHM,all,10,linear,,5,retain,10,10,-0.007224403997166298,-2.71515132501138
KGHM,all,10,xgboost,,0,reset,1,10,-0.0012095496331370405,-0.23172503797715904
KGHM,all,10,xgboost,,0,reset,10,10,-0.0033883828070471935,0.5208492458937645
KGHM,all,10,xgboost,,0,retain,1,10,-0.0012095496331370405,-0.23172503797715904
KGHM,all,10,xgboost,,0,retain,10,10,-0.0033883828070471935,0.5208492458937645
KGHM,all,10,xgboost,,1,reset,1,10,-0.001381950655686717,-0.14070891848597433
KGHM,all,10,xgboost,,1,reset,10,10,-0.003101778763934749,-1.8223879015810867
KGHM,all,10,xgboost,,1,retain,1,10,-0.001381950655686717,-0.14070891848597433
KGHM,all,10,xgboost,,1,retain,10,10,-0.003101778763934749,-1.8223879015810867
KGHM,all,10,xgboost,,5,reset,1,10,-0.0023022576989344097,0.14952735916423376
KGHM,all,10,xgboost,,5,reset,10,10,-0.004250996194266275,-0.28497360929366955
KGHM,all,10,xgboost,,5,retain,1,10,-0.0023022576989344097,0.14952735916423376
KGHM,all,10,xgboost,,5,retain,10,10,-0.004250996194266275,-0.28497360929366955
KGHM,all,20,linear,,0,reset,1,10,-0.010675178270213227,-0.6092710812724873
KGHM,all,20,linear,,0,reset,10,10,-0.020653031058213055,-2.0351765654270135
KGHM,all,20,linear,,0,retain,1,10,-0.010675178270213227,-0.6092710812724873
KGHM,all,20,linear,,0,retain,10,10,-0.020653031058213055,-2.0351765654270135
KGHM,all,20,linear,,1,reset,1,10,-0.011765397631195808,-0.756631443888074
KGHM,all,20,linear,,1,reset,10,10,-0.02139895055209364,-2.10796239292108
KGHM,all,20,linear,,1,retain,1,10,-0.011765397631195808,-0.756631443888074
KGHM,all,20,linear,,1,retain,10,10,-0.02139895055209364,-2.10796239292108
KGHM,all,20,linear,,5,reset,1,10,-0.013486521995448284,-0.43639040454917966
KGHM,all,20,linear,,5,reset,10,10,-0.018416213862201575,-1.648008191765789
KGHM,all,20,linear,,5,retain,1,10,-0.013486521995448284,-0.43639040454917966
KGHM,all,20,linear,,5,retain,10,10,-0.018416213862201575,-1.648008191765789
KGHM,all,20,xgboost,7.0,0,reset,1,10,0.0012047398018045566,-0.1153156381012328
KGHM,all,20,xgboost,7.0,0,reset,10,10,-0.006482272589200491,1.445969204648785
KGHM,all,20,xgboost,7.0,0,retain,1,10,0.0012047398018045566,-0.1153156381012328
