breakeven_shortfall_bps,cohort,common_rows,control_seed,coverage,crossed_bps,entry_half_spread_bps,exit_half_spread_bps,gross_midpoint_bps,horizon,latency,max_identity_error_bps,model,period,prediction_rows,selected_rows,symbol,undefined_reason,unit
5.670236343836712,monthly,403901,,0.11303017323552059,-5.670236343836712,3.142424872513257,3.6125939396083173,1.0847824682848295,20,1,2.220446049250313e-12,xgboost,2017-09,403901,45653,PEKAO,,bp
6.277276100093781,monthly,403901,,0.11303017323552059,-6.277276100093781,3.3137988944501537,3.6125946543187646,0.649117448675114,20,5,2.220446049250313e-12,xgboost,2017-09,403901,45653,PEKAO,,bp
4.924279064111661,monthly,481530,,0.0896475816667705,-4.924279064111661,2.645020707497303,3.4519131851348113,1.1726548285204388,20,0,2.220446049250313e-12,linear,2017-11,481530,43168,PEKAO,,bp
5.321718760842209,monthly,481530,,0.0896475816667705,-5.321718760842209,2.8401286793597382,3.4519047231137603,0.9703146416312729,20,1,2.220446049250313e-12,linear,2017-11,481530,43168,PEKAO,,bp
5.918827237797465,monthly,481530,,0.0896475816667705,-5.918827237797465,3.0625515244588177,3.451877953468143,0.5956022401294775,20,5,2.220446049250313e-12,linear,2017-11,481530,43168,PEKAO,,bp
5.5334641836798575,monthly,481530,,0.12020227192490603,-5.5334641836798575,3.06267327607187,3.7113832136551643,1.2405923060471529,20,0,2.220446049250313e-12,xgboost,2017-11,481530,57881,PEKAO,,bp
5.909522198475288,monthly,481530,,0.12020227192490603,-5.909522198475288,3.2248980839623105,3.711383394227578,1.0267592797145775,20,1,2.220446049250313e-12,xgboost,2017-11,481530,57881,PEKAO,,bp
6.5079145986806815,monthly,481530,,0.12020227192490603,-6.5079145986806815,3.4005062977805003,3.7113846479576047,0.6039763470574048,20,5,2.220446049250313e-12,xgboost,2017-11,481530,57881,PEKAO,,bp
7.21717166823784,monthly,675928,,1.9232817696559397e-05,-7.21717166823784,3.2423259994153537,4.439594675653299,0.4647490068307109,20,0,1.3820056210533949e-12,linear,2017-04,675928,13,PKNORLEN,,bp
7.851194175203284,monthly,675928,,1.9232817696559397e-05,-7.851194175203284,3.5592255271322277,4.439776547366603,0.1478078992954469,20,1,1.3820056210533949e-12,linear,2017-04,675928,13,PKNORLEN,,bp
6.788902836219323,monthly,675928,,1.9232817696559397e-05,-6.788902836219323,4.074006164620664,4.440970510560247,1.726073838961536,20,5,1.3820056210533949e-12,linear,2017-04,675928,13,PKNORLEN,,bp
5.728963377003192,monthly,675928,,0.035431288539607766,-5.728963377003192,3.3466405012252336,3.9388816246877547,1.5565587489097736,20,0,1.3820056210533949e-12,xgboost,2017-04,675928,23949,PKNORLEN,,bp
6.333237200525709,monthly,675928,,0.035431288539607766,-6.333237200525709,3.6156381578573127,3.9388937331738285,1.2212946905054096,20,1,1.3820056210533949e-12,xgboost,2017-04,675928,23949,PKNORLEN,,bp
6.999128681511955,monthly,675928,,0.035431288539607766,-6.999128681511955,3.7777965914562137,3.9389288352484684,0.717596745192715,20,5,1.3820056210533949e-12,xgboost,2017-04,675928,23949,PKNORLEN,,bp
8.079157292115834,monthly,862980,,5.2144893276785095e-05,-8.079157292115834,3.6567409999990277,4.963331712525684,0.5409154204089276,20,0,1.3784529073745944e-12,linear,2017-06,862980,45,PKNORLEN,,bp
9.242503019742259,monthly,862980,,5.2144893276785095e-05,-9.242503019742259,4.4801147566785255,4.962976491018512,0.2005882279547722,20,1,1.3784529073745944e-12,linear,2017-06,862980,45,PKNORLEN,,bp
