kind,scope,symbol,period,model,feature_group,shuffle,seed,horizon,task_id,day,ic,label_mean_bps,label_std_bps,prediction_mean_bps,prediction_std_bps,rows,undefined_reason
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-02,-0.025375491084709018,0.0029458176609071626,1.8322732169766913,0.0028504742033500646,0.008024769131115135,28483,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-05,0.03545154448801556,-0.07116110741460968,2.6166699843027925,0.0031613491439309365,0.010236631576242905,40516,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-06,0.0129383514116249,-0.03430663298590677,2.4656976109754747,0.0026273637483395953,0.010856243807190063,53671,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-07,0.022080107474672456,-0.03749049128386694,2.103791967573465,0.0026875340845892836,0.009430638959794234,35665,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-08,0.016709987873538373,0.06803382897417344,2.116258414804265,0.00401467447039752,0.010072242390207412,45460,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-09,0.010170792900452376,-0.021356677720073623,2.4139864078741686,0.0025693855723120836,0.011659093003691692,34663,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-12,0.03407669189178032,-0.020155842576751147,2.3810756338388406,0.003567673714580731,0.009976413623240091,41860,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-13,0.02712419091390968,0.009741529256401645,2.3186690076985514,0.00260062455442238,0.011884698447632657,53404,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-14,0.012045523173552968,-0.10127210686630238,2.3449675099530074,0.002102793861617908,0.009607384190862,39330,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-16,-0.02101768804078698,0.016608631929561638,1.56544354352813,0.0013629819118214594,0.009590571810009047,44640,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-19,-0.010091732069969002,-0.027573350256308,2.987387617695818,0.0029301308908610537,0.012547871972259424,58145,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-20,0.01921787672848669,1.30118123569107e-05,2.4323449214296815,0.002806073865907554,0.012660341861030452,31522,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-21,0.023665320856529597,0.014043305351857206,2.674286595428602,0.0026006692523556285,0.011199993389575481,80180,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-22,0.021015758390964395,-0.0026832176426108954,2.195627099270153,0.0039542276112475025,0.010435371796791408,59805,
control,transfer_june,PZU,2017-06,xgboost,F5,S1,17,20,ac3ca5ed38aa7b6e3f8760d55bed14d0f01bd5135175600129887f8c4d8d6d30,2017-06-23,0.027167992569537308,0.010344196458899646,2.7101101299318664,0.0032262698933726843,0.01143086128387749,51767,
