model,horizon,latency,metric,expected,defined,mean,median,positive,available_case_mean,cohort,mode
xgboost,20,5,entry_half_spread_bps,5,5,2.9218470546867996,2.886529839697002,5,2.9218470546867996,later,moving_exit
xgboost,50,0,entry_half_spread_bps,5,5,3.692156766079269,3.6025130771709986,5,3.692156766079269,later,moving_exit
xgboost,50,1,entry_half_spread_bps,5,5,3.75228189145567,3.6628465900593863,5,3.75228189145567,later,moving_exit
xgboost,50,5,entry_half_spread_bps,5,5,3.8116464442480136,3.696319485334065,5,3.8116464442480136,later,moving_exit
linear,10,0,exit_half_spread_bps,5,4,,,4,5.0012967136949005,later,moving_exit
linear,10,1,exit_half_spread_bps,5,4,,,4,5.01179228073756,later,moving_exit
linear,10,5,exit_half_spread_bps,5,4,,,4,4.959170860331125,later,moving_exit
linear,20,0,exit_half_spread_bps,5,5,3.504966699028526,3.4200877936792935,5,3.504966699028526,later,moving_exit
linear,20,1,exit_half_spread_bps,5,5,3.5204977922856777,3.4199718958948373,5,3.5204977922856777,later,moving_exit
linear,20,5,exit_half_spread_bps,5,5,3.5423185177832863,3.489954872486875,5,3.5423185177832863,later,moving_exit
linear,50,0,exit_half_spread_bps,5,5,3.820356028992528,3.621936819778172,5,3.820356028992528,later,moving_exit
linear,50,1,exit_half_spread_bps,5,5,3.8248984182658057,3.6197758692332584,5,3.8248984182658057,later,moving_exit
linear,50,5,exit_half_spread_bps,5,5,3.840173286130676,3.6243955125930687,5,3.840173286130676,later,moving_exit
xgboost,10,0,exit_half_spread_bps,5,5,3.1141513773471967,2.999537647350787,5,3.1141513773471967,later,moving_exit
xgboost,10,1,exit_half_spread_bps,5,5,3.1303120500263724,2.988887997354865,5,3.1303120500263724,later,moving_exit
xgboost,10,5,exit_half_spread_bps,5,5,3.167342842460165,3.0068315854484364,5,3.167342842460165,later,moving_exit
xgboost,20,0,exit_half_spread_bps,5,5,3.1992311015936195,3.0759987417063455,5,3.1992311015936195,later,moving_exit
xgboost,20,1,exit_half_spread_bps,5,5,3.217338673933456,3.082981891955979,5,3.217338673933456,later,moving_exit
xgboost,20,5,exit_half_spread_bps,5,5,3.2760951971893917,3.1175348012364767,5,3.2760951971893917,later,moving_exit
xgboost,50,0,exit_half_spread_bps,5,5,4.02395229451273,3.717021297287459,5,4.02395229451273,later,moving_exit
xgboost,50,1,exit_half_spread_bps,5,5,4.0253322384218695,3.71213530981234,5,4.0253322384218695,later,moving_exit
xgboost,50,5,exit_half_spread_bps,5,5,4.030232805076086,3.695852059191136,5,4.030232805076086,later,moving_exit
linear,10,0,crossed_bps,5,4,,,0,-4.680675695972938,later,moving_exit
linear,10,1,crossed_bps,5,4,,,0,-10.07988111029462,later,moving_exit
linear,10,5,crossed_bps,5,4,,,0,-10.127419245654112,later,moving_exit
linear,20,0,crossed_bps,5,5,-4.293353208588194,-4.618933267953027,0,-4.293353208588194,later,moving_exit
linear,20,1,crossed_bps,5,5,-6.184914249827239,-5.28125468774254,0,-6.184914249827239,later,moving_exit
linear,20,5,crossed_bps,5,5,-6.43777180505154,-5.886915375870558,0,-6.43777180505154,later,moving_exit
linear,50,0,crossed_bps,5,5,-5.7416963472601905,-5.899523612182713,0,-5.7416963472601905,later,moving_exit
