model,horizon,latency,interpretation,metric,expected,defined,mean,median,positive,available_case_mean,cohort
xgboost,20,0,retain,mean_fill_time,5,5,14.161472450180446,14.05565594506686,5,14.161472450180446,later
xgboost,20,1,reset,mean_fill_time,5,5,13.927231968198118,13.91722972972973,5,13.927231968198118,later
xgboost,20,1,retain,mean_fill_time,5,5,13.927231968198118,13.91722972972973,5,13.927231968198118,later
xgboost,20,5,reset,mean_fill_time,5,5,13.614101140066987,13.662633107454017,5,13.614101140066987,later
xgboost,20,5,retain,mean_fill_time,5,5,13.614101140066987,13.662633107454017,5,13.614101140066987,later
xgboost,50,0,reset,mean_fill_time,5,5,31.036185134148695,30.967106923529908,5,31.036185134148695,later
xgboost,50,0,retain,mean_fill_time,5,5,31.036185134148695,30.967106923529908,5,31.036185134148695,later
xgboost,50,1,reset,mean_fill_time,5,5,30.727318680850242,30.68362363665961,5,30.727318680850242,later
xgboost,50,1,retain,mean_fill_time,5,5,30.727318680850242,30.68362363665961,5,30.727318680850242,later
xgboost,50,5,reset,mean_fill_time,5,5,30.203654084568598,30.20424363825209,5,30.203654084568598,later
xgboost,50,5,retain,mean_fill_time,5,5,30.203654084568598,30.20424363825209,5,30.203654084568598,later
linear,10,0,reset,markout_5,5,5,-0.12376819578100948,-0.0916023936218053,1,-0.12376819578100948,later
linear,10,0,retain,markout_5,5,5,-0.12376819578100948,-0.0916023936218053,1,-0.12376819578100948,later
linear,10,1,reset,markout_5,5,5,-0.11883990995159321,-0.0742691969398852,2,-0.11883990995159321,later
linear,10,1,retain,markout_5,5,5,-0.11883990995159321,-0.0742691969398852,2,-0.11883990995159321,later
linear,10,5,reset,markout_5,5,5,-0.24438871124937372,-0.2178383756536071,1,-0.24438871124937372,later
linear,10,5,retain,markout_5,5,5,-0.24438871124937372,-0.2178383756536071,1,-0.24438871124937372,later
linear,20,0,reset,markout_5,5,5,-0.43707787700108136,-0.4397024753736472,0,-0.43707787700108136,later
linear,20,0,retain,markout_5,5,5,-0.43707787700108136,-0.4397024753736472,0,-0.43707787700108136,later
linear,20,1,reset,markout_5,5,5,-0.40829513736099743,-0.4066320448887267,0,-0.40829513736099743,later
linear,20,1,retain,markout_5,5,5,-0.40829513736099743,-0.4066320448887267,0,-0.40829513736099743,later
linear,20,5,reset,markout_5,5,5,-0.4082088002477399,-0.4027622365033207,0,-0.4082088002477399,later
linear,20,5,retain,markout_5,5,5,-0.4082088002477399,-0.4027622365033207,0,-0.4082088002477399,later
linear,50,0,reset,markout_5,5,5,-0.6217597868823459,-0.6630963787082155,0,-0.6217597868823459,later
