task_id,symbol,period,model,feature_group,spread_bin,imbalance_bin,rows,ic,undefined_reason
acebcb38ca36ee771a14ba2638d7c058b593f4a94cfdc504d1a3430dfdb8761b,KGHM,2017-06,linear,F3,1,2,78250,0.0955292996471754,
acebcb38ca36ee771a14ba2638d7c058b593f4a94cfdc504d1a3430dfdb8761b,KGHM,2017-06,linear,F3,1,3,88666,0.1295752230916837,
acebcb38ca36ee771a14ba2638d7c058b593f4a94cfdc504d1a3430dfdb8761b,KGHM,2017-06,linear,F3,2,1,104537,0.1082946627262971,
acebcb38ca36ee771a14ba2638d7c058b593f4a94cfdc504d1a3430dfdb8761b,KGHM,2017-06,linear,F3,2,2,125588,0.0696933080671424,
acebcb38ca36ee771a14ba2638d7c058b593f4a94cfdc504d1a3430dfdb8761b,KGHM,2017-06,linear,F3,2,3,115687,0.1001040733709029,
acebcb38ca36ee771a14ba2638d7c058b593f4a94cfdc504d1a3430dfdb8761b,KGHM,2017-06,linear,F3,3,1,116230,0.0940453239242333,
acebcb38ca36ee771a14ba2638d7c058b593f4a94cfdc504d1a3430dfdb8761b,KGHM,2017-06,linear,F3,3,2,140844,0.0613156192477311,
acebcb38ca36ee771a14ba2638d7c058b593f4a94cfdc504d1a3430dfdb8761b,KGHM,2017-06,linear,F3,3,3,151044,0.0841124377591439,
5778ce3aa3ba99ce07593ec4fe5b0574464efc7581ce0db3deb55259a9d42d93,KGHM,2017-06,linear,F4,1,1,93719,0.1490322632456404,
5778ce3aa3ba99ce07593ec4fe5b0574464efc7581ce0db3deb55259a9d42d93,KGHM,2017-06,linear,F4,1,2,78250,0.0954726126428389,
5778ce3aa3ba99ce07593ec4fe5b0574464efc7581ce0db3deb55259a9d42d93,KGHM,2017-06,linear,F4,1,3,88666,0.1298804500008762,
5778ce3aa3ba99ce07593ec4fe5b0574464efc7581ce0db3deb55259a9d42d93,KGHM,2017-06,linear,F4,2,1,104537,0.1111304201371108,
5778ce3aa3ba99ce07593ec4fe5b0574464efc7581ce0db3deb55259a9d42d93,KGHM,2017-06,linear,F4,2,2,125588,0.0674747489378645,
5778ce3aa3ba99ce07593ec4fe5b0574464efc7581ce0db3deb55259a9d42d93,KGHM,2017-06,linear,F4,2,3,115687,0.1004146919700019,
5778ce3aa3ba99ce07593ec4fe5b0574464efc7581ce0db3deb55259a9d42d93,KGHM,2017-06,linear,F4,3,1,116230,0.1011724735390702,
5778ce3aa3ba99ce07593ec4fe5b0574464efc7581ce0db3deb55259a9d42d93,KGHM,2017-06,linear,F4,3,2,140844,0.0714194415268299,
5778ce3aa3ba99ce07593ec4fe5b0574464efc7581ce0db3deb55259a9d42d93,KGHM,2017-06,linear,F4,3,3,151044,0.0873306076624184,
28215a7c8ad1fb4c5594b331c742284bcc50be5b4970ea38d38a82376c9b966d,KGHM,2017-06,linear,F5,1,1,93719,0.1524384201454809,
28215a7c8ad1fb4c5594b331c742284bcc50be5b4970ea38d38a82376c9b966d,KGHM,2017-06,linear,F5,1,2,78250,0.0999373485733104,
28215a7c8ad1fb4c5594b331c742284bcc50be5b4970ea38d38a82376c9b966d,KGHM,2017-06,linear,F5,1,3,88666,0.1311496536146081,
28215a7c8ad1fb4c5594b331c742284bcc50be5b4970ea38d38a82376c9b966d,KGHM,2017-06,linear,F5,2,1,104537,0.1114651703454605,
28215a7c8ad1fb4c5594b331c742284bcc50be5b4970ea38d38a82376c9b966d,KGHM,2017-06,linear,F5,2,2,125588,0.069749753446406,
28215a7c8ad1fb4c5594b331c742284bcc50be5b4970ea38d38a82376c9b966d,KGHM,2017-06,linear,F5,2,3,115687,0.1023764670560179,
28215a7c8ad1fb4c5594b331c742284bcc50be5b4970ea38d38a82376c9b966d,KGHM,2017-06,linear,F5,3,1,116230,0.0992703096443051,
28215a7c8ad1fb4c5594b331c742284bcc50be5b4970ea38d38a82376c9b966d,KGHM,2017-06,linear,F5,3,2,140844,0.0675575427515151,
28215a7c8ad1fb4c5594b331c742284bcc50be5b4970ea38d38a82376c9b966d,KGHM,2017-06,linear,F5,3,3,151044,0.0849140378030298,
95f6bef59823a21a4fb6f389abf65c1fb451427daa2eb7eb736a98e274a1f0ad,KGHM,2017-06,xgboost,F1,1,1,93719,0.1301352879943748,
