symbol,month,horizon,model,control_seed,task_id,latency,original_rows,rows,threshold_bps,coverage,selected_rows,sign_selected_bps,top_decile_long_bps,bottom_decile_short_bps,ordered_deciles,decile_bins
PKNORLEN,2017-06,10,linear,,86c9d9867523ef6652e925a20f4bde25e5a88bf75110b2829c415ad3d72b0cae,1,863190,863085,1.0,9.269075467653823e-06,8,-5.941596342076211,-6.088675669876499,-6.495652847255945,0.0,10
PKNORLEN,2017-06,10,linear,,86c9d9867523ef6652e925a20f4bde25e5a88bf75110b2829c415ad3d72b0cae,5,863190,863085,1.0,9.269075467653823e-06,8,-12.347503525121192,-6.61666217284352,-6.986149379722626,0.0,10
PKNORLEN,2017-06,10,xgboost,,2f356fd1f444ef2e9b21a76d4ada94d2bdeb776af95a89854166db8a2a32fb17,0,863190,863085,1.0,0.018718897906926896,16156,-5.518218768541812,-5.843227981330521,-6.621344440086752,0.0,10
PKNORLEN,2017-06,10,xgboost,,2f356fd1f444ef2e9b21a76d4ada94d2bdeb776af95a89854166db8a2a32fb17,1,863190,863085,1.0,0.018718897906926896,16156,-6.550880435605917,-6.164581563331643,-6.901514352681433,0.0,10
PKNORLEN,2017-06,10,xgboost,,2f356fd1f444ef2e9b21a76d4ada94d2bdeb776af95a89854166db8a2a32fb17,5,863190,863085,1.0,0.018718897906926896,16156,-7.222814506180466,-6.751471254179518,-7.418526282450432,0.0,10
PKNORLEN,2017-06,10,xgboost,7.0,af8dcc7cfdb810957901e7595127bb00783ce7fbd085b22a5611a37aa67e6bbf,0,863190,863085,1.0,0.0,0,,-9.956574650728648,-12.071954200955556,0.0,10
PKNORLEN,2017-06,10,xgboost,7.0,af8dcc7cfdb810957901e7595127bb00783ce7fbd085b22a5611a37aa67e6bbf,1,863190,863085,1.0,0.0,0,,-9.983827347172989,-12.014195741115307,0.0,10
PKNORLEN,2017-06,10,xgboost,7.0,af8dcc7cfdb810957901e7595127bb00783ce7fbd085b22a5611a37aa67e6bbf,5,863190,863085,1.0,0.0,0,,-10.066569577908254,-11.85194358515256,0.0,10
PKNORLEN,2017-06,20,linear,,52e0cbbdee226a6278e0e4849deda2384c8d739db34bf973934f47b59240a01c,0,862980,862875,1.0,5.215123859191656e-05,45,-8.079157292115834,-6.074937695926363,-6.24782988782525,0.0,10
PKNORLEN,2017-06,20,linear,,52e0cbbdee226a6278e0e4849deda2384c8d739db34bf973934f47b59240a01c,1,862980,862875,1.0,5.215123859191656e-05,45,-9.818892002484965,-6.386755095929081,-6.551573745191013,0.0,10
PKNORLEN,2017-06,20,linear,,52e0cbbdee226a6278e0e4849deda2384c8d739db34bf973934f47b59240a01c,5,862980,862875,1.0,5.215123859191656e-05,45,-9.538915614705617,-6.913182070087546,-7.067179620401279,0.0,10
PKNORLEN,2017-06,20,xgboost,,04109cd49f10e86230fd510cd6bf1f8cac6576d537e78152ce817020ad779a6a,0,862980,862875,1.0,0.06699579892800232,57809,-5.48411441287827,-5.77901667291964,-6.2786709323680965,0.0,10
PKNORLEN,2017-06,20,xgboost,,04109cd49f10e86230fd510cd6bf1f8cac6576d537e78152ce817020ad779a6a,1,862980,862875,1.0,0.06699579892800232,57809,-6.008963435000354,-6.09569525610889,-6.575537280263522,0.0,10
PKNORLEN,2017-06,20,xgboost,,04109cd49f10e86230fd510cd6bf1f8cac6576d537e78152ce817020ad779a6a,5,862980,862875,1.0,0.06699579892800232,57809,-6.705839923828278,-6.708355023931887,-7.144340610237586,0.0,10
