adverse_before_fill,control_seed,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.0595368458,,1014565,0.0221947337,0.0275871925,27989,20,retain,0,-0.0810628666,-0.3689733122,27989,27989,-0.2246664437,27989,-0.1326627657,27989,13.3189824574,845.1629180979,14.0,647.0,linear,2017-06,0.9170117242,1014565,200.0,1597.0,0.0012566962,4.7910492989,4.2151883518,27989,27989,4.5038215427,27989,4.6878394461,27989,KGHM,0.9724128075,0
0.0901095543,7.0,1014565,0.0433565124,0.0532760346,54052,20,retain,0,-0.1248211711,-0.374153603,54052,54052,-0.20831221,54052,-0.2364129724,54052,12.7193443351,554.5319609882,13.0,365.0,xgboost,2017-06,0.8642156984,1014565,80.0,1220.0,0.0023182349,5.1249946117,4.6262722905,54052,54052,4.957984907,54052,4.9017931823,54052,KGHM,0.9467239654,0
0.0588350672,,1014565,0.0221868486,0.0274018915,27801,20,retain,0,-0.1039494714,-0.3867028042,27801,27801,-0.2306625327,27801,-0.1505385212,27801,13.3841588432,835.1634040204,14.0,637.0,xgboost,2017-06,0.9177144885,1014565,197.0,1580.0,0.0012635957,4.9369760183,4.3714387099,27801,27801,4.6835333772,27801,4.8437928348,27801,KGHM,0.9725981085,0
0.0620265828,,1014565,0.023958051,0.029779265,30213,20,retain,1,-0.0604878447,-0.3604756852,30213,30213,-0.2146312844,30213,-0.1323327955,27874,13.1551980935,830.9905348598,14.0,634.0,linear,2017-06,0.9126847467,1014565,188.0,1581.0,0.0013306195,4.8048962426,4.2048777162,30213,30213,4.4965900774,30213,4.6023292479,27874,KGHM,0.970220735,0
0.0900888558,7.0,1014565,0.0429307141,0.0528847339,53655,20,retain,1,-0.1212888141,-0.3739212518,53655,53655,-0.2074549561,53655,-0.2253280519,49967,12.7463982853,554.5074726607,13.0,365.0,xgboost,2017-06,0.8646759941,1014565,80.0,1220.0,0.0023044359,5.1568225143,4.651500332,53655,53655,4.9844659239,53655,4.8879757222,49967,KGHM,0.9471152661,0
0.0612863641,,1014565,0.0237165682,0.0293436103,29771,20,retain,1,-0.0871889607,-0.3835637274,29771,29771,-0.2264487506,29771,-0.1474422134,27440,13.2230022505,822.5235031762,14.0,624.0,xgboost,2017-06,0.9136556061,1014565,184.0,1570.0,0.0013414616,4.94928801,4.3565030964,29771,29771,4.6707514054,29771,4.7781764557,27440,KGHM,0.9706563897,0
0.0694721383,,1014565,0.0280474883,0.0353865943,35902,20,retain,5,-0.0737525849,-0.356294933,35902,35902,-0.2038912088,35902,-0.0141753857,23151,12.913403153,800.746567248,13.0,605.0,linear,2017-06,0.9009467112,1014565,150.0,1559.0,0.0015336622,4.5672404982,4.0020959005,35902,35902,4.3069352246,35902,4.3684533232,23151,KGHM,0.9646134057,0
0.0890696998,7.0,1014565,0.0425561694,0.0522894048,53051,20,retain,5,-0.1204185917,-0.382056474,53048,53051,-0.2198503089,53050,-0.1178746128,34872,12.7497502403,554.6986945144,13.0,365.0,xgboost,2017-06,0.8661032068,1014565,80.0,1220.0,0.002270924,5.2148322958,4.6913765994,53048,53051,5.0157949246,53050,4.9103620821,34872,KGHM,0.9477105952,0
0.0691192777,,1014565,0.0278750006,0.0350810446,35592,20,retain,5,-0.0941564825,-0.3699226628,35592,35592,-0.2121626287,35592,-0.0219957201,22852,12.960103394,793.3795173301,13.0,600.0,xgboost,2017-06,0.9014464327,1014565,150.0,1547.0,0.001559289,4.7008751419,4.1492900269,35592,35592,4.4648456456,35592,4.5573382009,22852,KGHM,0.9649189554,0
0.1295812848,,1013935,0.0823415702,0.1046309675,106089,50,retain,0,-0.2359903323,-0.7314838215,106086,106089,-0.5319567059,106086,-0.8741689691,106089,29.7267200181,845.1560060556,30.0,647.0,linear,2017-06,0.7821162106,1013935,200.0,1598.0,0.0059609344,5.7051127828,4.7138919549,106086,106089,5.1129620307,106086,4.4287636525,106089,KGHM,0.8953690325,0
