adverse_before_fill,control_seed,decile,eligible_decisions,fill_before_adverse,fill_probability,fills,horizon,interpretation,latency,markout_1,markout_10,markout_10_observations,markout_1_observations,markout_5,markout_5_observations,markout_remaining,markout_remaining_observations,mean_fill_time,mean_queue_ahead,median_fill_time,median_queue_ahead,model,month,no_event_fraction,placed_orders,queue_ahead_p10,queue_ahead_p90,simultaneous,spread_1,spread_10,spread_10_observations,spread_1_observations,spread_5,spread_5_observations,spread_remaining,spread_remaining_observations,symbol,unfilled_fraction,zero_signal_decisions
0.037433836,,1,109954,0.010149699,0.0111501173,1226,10,retain,0,0.4523596384,0.4736253741,1226,1226,0.6679101771,1226,0.5138253135,1226,7.2610114192,124.0043017989,7.0,120.0,xgboost,2017-04,0.9523164232,109954,74.3,170.0,0.0001000418,5.6158490309,5.6583077691,1226,1226,6.0470228496,1226,5.7387703153,1226,KGHM,0.9888498827,0
0.0269138594,,2,110575,0.0035089306,0.0040153742,444,10,retain,0,-0.2285741294,-0.1100749699,444,444,-0.1481647709,444,-0.1877453522,444,7.9481981982,231.6374406511,8.0,232.0,xgboost,2017-04,0.96947773,110575,195.0,270.0,9.948e-05,4.3774160943,4.6143893437,444,444,4.5382319982,444,4.4590714894,444,KGHM,0.9959846258,0
0.020826102,,3,109478,0.00343448,0.0041926232,459,10,retain,0,0.1607524557,0.1382164758,459,459,0.2345407083,459,0.2095272794,459,7.7777777778,330.7414000986,8.0,330.0,xgboost,2017-04,0.9754653903,109478,293.0,373.0,0.0002740277,3.5317049516,3.4867145819,459,459,3.6794734263,459,3.6291406224,459,KGHM,0.9958073768,0
0.0198737049,,4,109743,0.0029705767,0.0033806256,371,10,retain,0,-0.1419043467,-1.0082056938,371,371,-0.4934858522,371,-0.2275286999,371,8.0296495957,436.3398576675,8.0,434.0,xgboost,2017-04,0.9770099232,109743,396.0,482.0,0.0001457952,3.3585540371,1.625993005,371,371,2.6553514156,371,3.1873146174,371,KGHM,0.9966193744,0
0.0189346216,,5,110327,0.0025922938,0.0031451956,347,10,retain,0,-0.5123048691,-0.3056100106,347,347,-0.385909021,347,-0.3053629725,347,8.0778097983,545.1453134772,8.0,542.0,xgboost,2017-04,0.9783280611,110327,500.0,598.0,0.0001450234,3.3360726418,3.7492895898,347,347,3.5887587988,347,3.7499957775,347,KGHM,0.9968548044,0
0.0186698419,,6,110017,0.0019087959,0.0024905242,274,10,retain,0,0.0874248178,-0.4219957714,273,273,-0.001105937,273,-0.0012881942,274,8.0912408759,674.8470145523,8.0,674.0,xgboost,2017-04,0.979203214,110017,620.0,731.0,0.0002181481,2.876090824,1.8572028283,273,273,2.6990758613,273,2.7035416195,274,KGHM,0.9975094758,0
0.0138218517,,7,109392,0.0016546,0.0019288431,211,10,retain,0,-0.5556937587,-0.8099612786,211,211,-0.3786646384,211,-0.3964938998,211,8.2559241706,825.7309766711,9.0,824.0,xgboost,2017-04,0.9845144069,109392,760.0,895.0,9.1414e-06,2.4995495932,1.9909898721,211,211,2.8536640973,211,2.8178806849,211,KGHM,0.9980711569,0
0.0181947199,,8,109922,0.001491967,0.001719401,189,10,retain,0,-0.1807592454,-0.7870356556,189,189,-0.6930306202,189,-0.2364006838,189,8.3121693122,1022.7926711668,9.0,1013.0,xgboost,2017-04,0.9802587289,109922,933.0,1120.0,5.45842e-05,3.0849698428,1.8723140413,189,189,2.0604438265,189,2.9737280864,189,KGHM,0.998280599,0
0.015316291,,9,109883,0.000819053,0.0009100589,100,10,retain,0,0.7930224088,0.0700858934,100,100,0.485215454,100,0.5302707717,100,8.56,1336.2839292702,9.0,1321.0,xgboost,2017-04,0.9838191531,109883,1179.0,1524.0,4.55029e-05,4.4567232571,3.0107670922,100,100,3.8412045592,100,3.9311548219,100,KGHM,0.9990899411,0
0.0129340554,,10,109865,0.0004368998,0.0004733082,52,10,retain,0,-0.6681977111,-0.8741831928,52,52,-1.2536565807,52,-0.3910113017,52,8.4230769231,2551.7167068675,9.0,2080.0,xgboost,2017-04,0.9866108406,109865,1653.0,4025.0,1.82042e-05,2.0898398884,1.677454928,52,52,0.9188543337,52,2.6441087992,52,KGHM,0.9995266918,0
