interpretation,horizon,latency,metric,blocks,defined_blocks,mean_delta,median_delta,wins,ci_low,ci_high,without_KGHM,without_PKNORLEN,without_PKOBP,without_PZU,without_PEKAO,without_2017-04,without_2017-06,without_2017-09,without_2017-11
reset,10,5,markout_5,20,20,-0.006509707805000001,-0.0080384036,7,-0.018270704907875003,0.005091956190625003,-0.0061323215375000024,-0.005093428587500001,-0.004564319725000002,-0.0059277308875,-0.010830738287499999,-0.005141288340000002,-0.007952281866666668,-0.009708284600000002,-0.003236976413333331
reset,10,5,spread_5,20,20,0.024540483185000083,0.0057029915000001985,10,-0.017678778641124843,0.06794623019175007,0.015216045837500136,0.022207866075000082,0.02104979628125006,0.03617751317500004,0.028051194556250103,0.035983878406666746,0.018107611306666747,0.007480431206666764,0.03659001182000008
reset,20,0,fill_probability,20,20,-0.0002610108349999999,-0.00031178604999999946,4,-0.00042953552850000026,-8.445544487499965e-05,-0.00020776351875000012,-0.00033826146250000007,-0.0003124884312499999,-0.00022505789999999973,-0.00022148286249999987,-0.00029627013333333337,-0.00031271367333333364,-0.00026716721333333305,-0.0001678923199999997
reset,20,0,fill_before_adverse,20,20,-0.00013873506499999965,-0.00012036055000000032,6,-0.0002708583743749996,-9.44004649999944e-06,-9.021764999999943e-05,-0.00019134213124999975,-0.00017349913749999948,-0.00014171978749999968,-9.689661874999987e-05,-0.0001408369933333328,-0.00020278109999999962,-0.00015874126666666637,-5.2580899999999746e-05
reset,20,0,markout_5,20,20,-0.0009729659999999946,-0.0008365576500000138,9,-0.008009344263874984,0.0059794603600000044,0.0007033108375000038,-0.002159794862499991,-0.0013433419249999938,-0.001367822331249993,-0.0006971817187499986,-0.0029902282999999994,-0.002390783413333322,0.001221821200000008,0.0002673265133333352
reset,20,0,spread_5,20,20,0.09807465665500008,0.11497627384999998,17,0.06276746210900006,0.13119287178212516,0.08568907085625005,0.09875875790625008,0.08373744938750008,0.11362363735625011,0.10856436776875009,0.10210547986000004,0.09137005190000012,0.10062926621333342,0.09819382864666674
reset,20,1,fill_probability,20,20,-0.0005059826100000003,-0.0005648443500000013,2,-0.0006602225799999991,-0.00033711287099999986,-0.00044044253125000046,-0.0005414216062500003,-0.0005830943875000006,-0.0005109961375000004,-0.0004539583874999997,-0.0005290093333333336,-0.000529764446666667,-0.0005328473533333333,-0.00043230930666666724
reset,20,1,fill_before_adverse,20,20,-0.00035723645000000013,-0.000393872899999999,3,-0.000484224519125,-0.00022881284887500068,-0.00029371110625000033,-0.00037050979374999985,-0.00041774262500000013,-0.0003892564187500003,-0.00031496230625,-0.0003670000266666666,-0.0003917461666666668,-0.00038451087333333373,-0.00028568873333333333
reset,20,1,markout_5,20,20,-0.011601400445000003,-0.009123559050000007,3,-0.01954449054275001,-0.004562778802875004,-0.008452589875000005,-0.009846776300000006,-0.013435494862500005,-0.013531752918750002,-0.012740388268750003,-0.009850831039999997,-0.012248008633333342,-0.011280935333333337,-0.013025826773333337
reset,20,1,spread_5,20,20,0.08445149634500002,0.08100165155000005,18,0.05166392294274998,0.11789825646062488,0.07711922171875002,0.08874434060000003,0.07489335400625005,0.09612512310000004,0.08537544229999997,0.08594705644666671,0.08086214052000006,0.08565760566666665,0.08533918274666667
